model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Kuga,2018,15750,Manual,19254,Diesel,150,60.1,2
 EcoSport,2018,13500,Manual,9840,Diesel,145,68.9,1.5
 Fiesta,2018,10795,Manual,5247,Petrol,145,65.7,1
 Edge,2016,20500,Semi-Auto,28500,Diesel,200,47.9,2
 Focus,2019,16295,Manual,7412,Petrol,145,58.9,1
 Focus,2019,16000,Manual,10592,Petrol,150,49.6,1
 Fiesta,2018,15000,Manual,5912,Petrol,150,65.7,1
 Fiesta,2018,11895,Manual,9820,Petrol,150,65.7,1
 Mondeo,2017,13000,Automatic,30765,Petrol,205,43.5,1.5
 Ka+,2018,8000,Manual,8945,Petrol,150,57.7,1.2
 Fiesta,2016,9190,Manual,11414,Petrol,0,65.7,1
 Focus,2018,11680,Manual,22854,Petrol,145,60.1,1
 Kuga,2017,15890,Manual,36102,Diesel,145,54.3,2
 Fiesta,2014,6680,Manual,45926,Petrol,0,65.7,1
 Focus,2019,14548,Manual,19768,Diesel,145,80.7,1.5
 Focus,2014,5752,Manual,72475,Petrol,30,56.5,1
 KA,2015,4942,Manual,12905,Petrol,30,57.7,1.2
 Fiesta,2017,10395,Manual,17854,Petrol,150,65.7,1
 Galaxy,2019,26495,Automatic,8156,Diesel,145,54.3,2
 Fiesta,2018,11595,Manual,16932,Diesel,150,58.9,1.5
 KA,2015,5995,Manual,8335,Petrol,30,57.7,1.2
 Fiesta,2017,9995,Manual,35552,Petrol,150,65.7,1
 Kuga,2015,10620,Manual,81547,Diesel,145,54.3,2
 Kuga,2017,14180,Manual,29000,Diesel,150,60.1,2
 Focus,2019,15785,Manual,9000,Petrol,150,60.1,1
 Mondeo,2017,17990,Semi-Auto,30000,Diesel,150,58.9,2
 Fiesta,2017,9670,Manual,26000,Petrol,150,65.7,1
 Focus,2019,15785,Manual,9000,Petrol,150,60.1,1
 Kuga,2014,11995,Automatic,40221,Petrol,235,38.2,1.5
 Kuga,2016,15000,Semi-Auto,22841,Diesel,145,52.3,2
 Focus,2017,11499,Manual,23187,Petrol,145,60.1,1
 Kuga,2019,18500,Manual,9306,Diesel,145,45.6,1.5
 Focus,2017,10999,Semi-Auto,33362,Petrol,145,51.4,1
 Mondeo,2016,11000,Manual,26906,Diesel,0,78.5,1.5
 Ka+,2018,6724,Manual,23800,Petrol,145,57.7,1.2
 Ka+,2017,7500,Manual,36262,Petrol,145,57.7,1.2
 Fiesta,2014,6000,Manual,52533,Petrol,30,54.3,1.2
 Focus,2017,11990,Manual,29478,Diesel,145,74.3,1.5
 C-MAX,2019,16325,Automatic,7500,Petrol,145,36.7,1.5
 Kuga,2017,14990,Manual,11675,Diesel,145,60.1,2
 Fiesta,2019,12500,Manual,11500,Petrol,145,58.9,1
 Focus,2017,10150,Manual,18291,Petrol,145,61.4,1
 Kuga,2018,15450,Manual,11812,Diesel,145,60.1,2
 EcoSport,2017,10485,Manual,20676,Petrol,145,52.3,1
 Fiesta,2020,17250,Manual,1000,Petrol,145,60.1,1
 EcoSport,2020,22450,Manual,500,Petrol,145,51.4,1
 Fiesta,2020,21865,Manual,500,Petrol,145,55.4,1
 Fiesta,2014,5500,Manual,50354,Petrol,30,54.3,1.2
 Focus,2017,18500,Manual,16292,Petrol,145,41.5,2
 Fiesta,2016,7995,Manual,17021,Petrol,125,54.3,1.2
 Kuga,2018,15495,Manual,14131,Diesel,145,60.1,2
 Kuga,2018,15800,Manual,24427,Diesel,145,54.3,1.5
 Kuga,2017,14500,Manual,19693,Diesel,30,64.2,1.5
 Ka+,2018,7900,Manual,29339,Petrol,145,57.7,1.2
 Fiesta,2018,10500,Manual,19434,Petrol,145,65.7,1
 EcoSport,2017,10300,Manual,20833,Petrol,145,52.3,1
 Fiesta,2018,11800,Manual,11456,Petrol,145,65.7,1
 Fiesta,2018,11500,Manual,33694,Petrol,145,65.7,1
 Fiesta,2017,9770,Manual,9766,Petrol,145,64.2,1.1
 Fiesta,2018,9950,Manual,7056,Petrol,145,65.7,1
 Fiesta,2014,5391,Manual,89936,Diesel,0,78.5,1.6
 EcoSport,2017,10290,Manual,21445,Petrol,125,52.3,1
 Galaxy,2014,11950,Manual,44314,Diesel,150,49.6,2
 Fiesta,2016,9970,Manual,40708,Petrol,150,47.9,1.6
 Mondeo,2016,15975,Automatic,9396,Electric,0,67.3,2
 Fiesta,2017,9500,Manual,22312,Petrol,0,65.7,1
 Kuga,2019,21200,Manual,5596,Petrol,145,35.3,1.5
 Ka+,2018,10250,Manual,9023,Petrol,145,43.5,1.2
 Fiesta,2018,12000,Manual,30418,Petrol,145,62.8,1
 Galaxy,2017,20000,Manual,25183,Diesel,125,56.5,2
 Focus,2017,18250,Manual,11323,Petrol,200,41.5,2
 Kuga,2017,14440,Manual,19864,Diesel,125,60.1,2
 Fiesta,2018,10190,Manual,13487,Petrol,145,65.7,1
 S-MAX,2018,23038,Semi-Auto,15019,Diesel,145,52.3,2
 Focus,2015,8810,Manual,45463,Diesel,0,74.3,1.5
 Fiesta,2018,12448,Manual,13666,Petrol,145,56.5,1
 Tourneo Custom,2017,19490,Manual,23838,Diesel,150,44.8,2
 Kuga,2017,14450,Manual,25038,Diesel,150,60.1,2
 Fiesta,2018,9985,Manual,9228,Petrol,150,65.7,1
 Mondeo,2016,14450,Automatic,36875,Petrol,240,38.7,2
 Fiesta,2018,12250,Manual,14401,Petrol,150,65.7,1
 Focus,2013,5450,Manual,79285,Diesel,20,67.3,1.6
 Edge,2017,22450,Semi-Auto,29000,Diesel,150,47.9,2
 Fiesta,2018,10950,Manual,17000,Petrol,150,65.7,1
 Focus,2019,17500,Manual,7241,Petrol,145,58.9,1
 Fiesta,2018,12000,Manual,9684,Petrol,150,60.1,1
 Fiesta,2015,7395,Manual,38185,Diesel,0,78.5,1.5
 Fiesta,2016,11495,Manual,31000,Petrol,145,47.9,1.6
 Kuga,2019,21295,Semi-Auto,3214,Diesel,145,42.2,2
 Kuga,2019,23690,Semi-Auto,8316,Diesel,145,38.7,2
 Kuga,2019,18985,Manual,9965,Petrol,145,35.3,1.5
 Fiesta,2017,9950,Manual,32482,Petrol,0,65.7,1
 Kuga,2019,19750,Automatic,1000,Petrol,145,28.8,1.5
 Focus,2018,11790,Semi-Auto,26694,Petrol,145,51.4,1
 Fiesta,2015,10700,Manual,11422,Petrol,20,62.8,1
 Ka+,2017,8600,Manual,9777,Petrol,145,57.7,1.2
 Ka+,2016,8000,Manual,19681,Petrol,30,57.7,1.2
 Fiesta,2017,9700,Manual,16136,Petrol,0,65.7,1
 Fiesta,2013,6900,Manual,52158,Petrol,0,65.7,1
 Fiesta,2018,12500,Manual,10827,Petrol,145,65.7,1
 Grand C-MAX,2018,14000,Manual,18614,Petrol,145,54.3,1
 Fiesta,2017,9750,Manual,19476,Diesel,0,78.5,1.5
 Ka+,2018,10500,Manual,4769,Petrol,145,43.5,1.2
 Fiesta,2017,9000,Manual,29172,Petrol,145,54.3,1.2
 Focus,2018,15375,Automatic,6660,Petrol,145,50.4,1
 EcoSport,2017,9280,Manual,20063,Petrol,145,52.3,1
 Fiesta,2017,11450,Manual,2000,Petrol,145,65.7,1
 Kuga,2019,20450,Manual,2000,Diesel,145,38.2,2
 Focus,2018,19000,Semi-Auto,14976,Diesel,145,61.4,2
 EcoSport,2019,16875,Manual,500,Petrol,145,51.4,1
 Fiesta,2019,22450,Manual,1182,Petrol,145,40.4,1.5
 Focus,2016,8450,Semi-Auto,46000,Petrol,125,51.4,1
 Kuga,2019,18000,Manual,15269,Diesel,145,38.2,2
 Fiesta,2016,5995,Manual,79651,Petrol,0,65.7,1
 Focus,2017,10990,Manual,11000,Petrol,145,61.4,1
 EcoSport,2016,11000,Manual,2700,Petrol,125,53.3,1
 Focus,2018,13000,Manual,39448,Diesel,150,74.3,1.5
 B-MAX,2017,11000,Manual,10300,Petrol,150,55.4,1
 Focus,2017,11000,Manual,19239,Diesel,0,74.3,1.5
 EcoSport,2017,10000,Manual,19190,Diesel,150,64.2,1.5
 Fiesta,2016,9295,Manual,36500,Diesel,0,78.5,1.5
 Kuga,2017,14995,Manual,21615,Diesel,125,60.1,2
 Focus,2014,6950,Manual,36996,Petrol,30,56.5,1
 Fiesta,2017,8460,Manual,15763,Petrol,0,65.7,1
 Fiesta,2018,9300,Manual,25251,Petrol,145,65.7,1
 Focus,2016,11810,Semi-Auto,5034,Petrol,125,51.4,1
 Focus,2015,6730,Manual,78164,Diesel,20,67.3,1.6
 Fiesta,2015,7691,Manual,34296,Petrol,0,65.7,1
 Focus,2020,18511,Manual,771,Diesel,150,74.3,1.5
 Fiesta,2018,11721,Manual,11191,Petrol,150,65.7,1
 EcoSport,2015,7591,Manual,35468,Petrol,125,52.3,1
 Fiesta,2017,11191,Manual,10950,Petrol,145,65.7,1
 Focus,2016,7391,Manual,49089,Petrol,20,61.4,1
 Focus,2014,8291,Manual,26900,Petrol,20,58.9,1
 Focus,2015,7350,Manual,59201,Diesel,20,67.3,1.6
 B-MAX,2013,6051,Manual,26046,Petrol,145,47.1,1.4
 Fiesta,2015,8040,Manual,25283,Petrol,0,65.7,1
 Focus,2018,15340,Manual,10551,Petrol,145,60.1,1
 Focus,2017,11220,Semi-Auto,22132,Petrol,125,51.4,1
 Fiesta,2018,12495,Manual,16257,Petrol,145,62.8,1
 Fiesta,2015,6995,Manual,8034,Petrol,125,54.3,1.2
 Fiesta,2017,11000,Manual,23722,Petrol,145,65.7,1
 Focus,2019,18000,Manual,5000,Petrol,145,49.6,1
 Edge,2017,17495,Manual,48000,Diesel,160,48.7,2
 Fiesta,2018,12000,Manual,8230,Petrol,145,65.7,1
 Fiesta,2019,15495,Manual,2100,Petrol,145,62.8,1
 Focus,2017,11000,Manual,29000,Diesel,145,74.3,1.5
 Fiesta,2018,9495,Manual,17300,Petrol,145,64.2,1.1
 Fiesta,2018,11490,Manual,8819,Petrol,145,65.7,1
 Fiesta,2017,10490,Manual,14250,Petrol,145,65.7,1
 Fiesta,2017,10000,Manual,37200,Petrol,145,65.7,1
 EcoSport,2018,12770,Manual,12000,Petrol,145,53.3,1
 B-MAX,2013,6495,Manual,33000,Diesel,20,68.9,1.5
 Fiesta,2018,11000,Manual,15000,Petrol,145,55.4,1
 Fiesta,2019,13440,Manual,14802,Petrol,145,65.7,1
 Fiesta,2016,9000,Manual,32148,Petrol,0,65.7,1
 Focus,2018,18000,Automatic,12154,Petrol,150,47.9,1.5
 Kuga,2017,15000,Manual,41100,Diesel,125,60.1,2
 Focus,2018,15490,Manual,6900,Diesel,150,80.7,1.5
 Fiesta,2018,11000,Manual,31692,Petrol,145,65.7,1
 Fiesta,2015,8999,Manual,19000,Petrol,0,65.7,1
 C-MAX,2016,10000,Manual,37000,Diesel,20,68.9,1.5
 Fiesta,2016,8000,Manual,33048,Diesel,0,78.5,1.5
 Fiesta,2017,8495,Manual,33000,Petrol,125,54.3,1.2
 Kuga,2018,18000,Semi-Auto,27964,Diesel,145,54.3,2
 Fiesta,2017,9000,Manual,20682,Petrol,150,65.7,1
 EcoSport,2018,15000,Manual,6846,Petrol,150,54.3,1
 Focus,2015,7800,Manual,40523,Petrol,20,61.4,1
 Focus,2014,7500,Manual,58289,Petrol,30,55.4,1
 Fiesta,2018,12490,Manual,11200,Petrol,145,55.4,1.1
 Fiesta,2016,7991,Manual,22099,Petrol,0,65.7,1
 Focus,2019,17520,Manual,5342,Petrol,145,60.1,1
 Fiesta,2015,6600,Manual,34986,Petrol,0,65.7,1
 Fiesta,2017,8240,Manual,4249,Petrol,145,54.3,1.2
 Fiesta,2018,13960,Manual,2971,Petrol,145,60.1,1
 Fiesta,2016,8520,Manual,9828,Petrol,125,54.3,1.2
 Edge,2016,17650,Manual,48756,Diesel,160,48.7,2
 B-MAX,2015,7350,Manual,45578,Diesel,20,70.6,1.6
 Fiesta,2019,15710,Manual,1546,Petrol,145,58.9,1
 Ka+,2018,8000,Manual,14143,Petrol,150,57.7,1.2
 Edge,2017,22000,Semi-Auto,14143,Diesel,150,47.9,2
 Mondeo,2019,20000,Manual,50,Diesel,150,65.7,2
 Fiesta,2018,10095,Manual,9393,Petrol,150,64.2,1.1
 EcoSport,2016,10850,Manual,19252,Petrol,125,52.3,1
 Fiesta,2017,11200,Manual,23435,Petrol,150,65.7,1
 C-MAX,2017,11000,Manual,6466,Diesel,145,68.9,1.5
 Kuga,2015,12500,Manual,66675,Diesel,145,54.3,2
 Fiesta,2017,10000,Manual,11224,Petrol,145,54.3,1.2
 Fiesta,2017,10700,Manual,31767,Petrol,145,62.8,1
 Kuga,2018,16000,Manual,11089,Diesel,145,64.2,1.5
 Edge,2017,18950,Semi-Auto,24078,Diesel,160,48.7,2
 Fiesta,2017,10000,Manual,26559,Petrol,145,65.7,1
 Fiesta,2016,7375,Manual,54291,Petrol,0,65.7,1
 Fiesta,2016,8870,Manual,20000,Diesel,0,78.5,1.5
 EcoSport,2017,10950,Manual,14800,Petrol,145,52.3,1
 S-MAX,2017,21975,Automatic,18801,Petrol,145,35.8,2
 Edge,2017,20450,Semi-Auto,34399,Diesel,160,48.7,2
 Galaxy,2017,20450,Semi-Auto,27920,Diesel,145,52.3,2
 Mondeo,2015,12950,Manual,30100,Petrol,145,48.7,1.5
 Fiesta,2017,6760,Manual,63998,Diesel,0,78.5,1.5
 EcoSport,2017,11500,Manual,24700,Petrol,125,52.3,1
 Ka+,2017,7775,Manual,7762,Petrol,145,57.7,1.2
 Fiesta,2017,7499,Manual,30328,Petrol,125,54.3,1.2
 C-MAX,2018,13999,Manual,1596,Petrol,145,55.4,1
 Fiesta,2018,10299,Manual,10546,Petrol,145,64.2,1.1
 Fiesta,2018,10499,Manual,10844,Petrol,145,64.2,1.1
 Focus,2017,11250,Manual,33104,Petrol,145,60.1,1
 Focus,2017,11999,Manual,9381,Petrol,145,60.1,1
 Focus,2017,11499,Manual,17918,Petrol,145,60.1,1
 EcoSport,2017,9499,Manual,20283,Petrol,145,53.3,1
 Focus,2017,11995,Manual,19933,Petrol,145,60.1,1
 Fiesta,2017,11999,Manual,10395,Petrol,145,65.7,1
 Fiesta,2018,11991,Manual,20533,Petrol,145,56.5,1
 Fiesta,2014,6720,Manual,32005,Petrol,30,54.3,1.2
 EcoSport,2018,13491,Manual,14403,Petrol,145,54.3,1
 Kuga,2020,31991,Semi-Auto,2357,Hybrid,135,201.8,2.5
 Focus,2015,8467,Manual,61949,Diesel,0,74.3,1.5
 Fiesta,2016,8491,Manual,19389,Petrol,125,54.3,1.2
 Fiesta,2017,10380,Manual,24583,Petrol,145,65.7,1
 Focus,2019,17300,Manual,4456,Petrol,145,60.1,1
 Fiesta,2016,7150,Manual,59607,Diesel,0,88.3,1.5
 Fiesta,2019,15040,Automatic,6987,Petrol,145,48.7,1
 Focus,2015,8495,Semi-Auto,39250,Petrol,165,44.8,1.6
 Ka+,2019,10150,Manual,2458,Petrol,150,47.9,1.2
 Fiesta,2018,12599,Manual,12593,Petrol,150,56.5,1
 Fiesta,2018,11999,Manual,16379,Petrol,150,65.7,1
 Kuga,2017,14699,Manual,33717,Diesel,125,60.1,2
 Fiesta,2017,9290,Manual,13449,Petrol,145,54.3,1.2
 Fiesta,2019,11499,Manual,9708,Petrol,145,58.9,1
 Fiesta,2016,7499,Manual,30302,Petrol,0,65.7,1
 Fiesta,2017,10695,Automatic,12974,Petrol,145,57.7,1
 Fiesta,2018,10499,Manual,15737,Petrol,145,55.4,1.1
 Focus,2017,10840,Manual,27051,Petrol,20,60.1,1
 Grand C-MAX,2016,10030,Automatic,17334,Diesel,30,58.9,1.5
 Fiesta,2017,9540,Manual,15666,Petrol,145,65.7,1
 Fiesta,2018,11997,Manual,21092,Diesel,145,58.9,1.5
 Fiesta,2018,11997,Manual,13992,Petrol,145,56.5,1
 Focus,2017,11799,Manual,21069,Diesel,0,74.3,1.5
 Focus,2017,10993,Manual,17797,Petrol,20,61.4,1
 Kuga,2018,16789,Manual,9748,Diesel,145,64.2,1.5
 Kuga,2019,21664,Manual,45,Petrol,145,35.3,1.5
 Focus,2018,14999,Manual,13861,Diesel,145,74.3,1.5
 Focus,2015,9995,Manual,32121,Diesel,0,74.3,1.5
 Fiesta,2014,7389,Manual,29875,Petrol,0,65.7,1
 KA,2013,4495,Manual,32900,Petrol,30,57.7,1.2
 Fiesta,2017,10499,Manual,18314,Petrol,145,65.7,1
 Fiesta,2016,9995,Manual,5900,Petrol,0,65.7,1
 Kuga,2018,17995,Manual,4034,Petrol,145,39.2,1.5
 Focus,2017,9995,Manual,30363,Petrol,145,60.1,1
 Fiesta,2017,8795,Manual,24000,Petrol,0,65.7,1
 Tourneo Custom,2016,12995,Manual,73000,Diesel,200,44.8,2
 Focus,2017,10982,Manual,22599,Petrol,145,60.1,1
 C-MAX,2013,8782,Semi-Auto,24000,Diesel,165,50.4,2
 Grand Tourneo Connect,2016,13482,Manual,21862,Diesel,30,64.2,1.5
 Mondeo,2015,9625,Manual,69238,Diesel,30,64.2,2
 Focus,2015,8982,Manual,47861,Diesel,0,74.3,1.5
 Mondeo,2015,9022,Manual,60000,Diesel,0,78.5,1.5
 Fiesta,2018,10145,Manual,37224,Petrol,145,56.5,1
 Focus,2017,14971,Manual,23779,Diesel,20,67.3,2
 EcoSport,2016,9282,Manual,18990,Petrol,125,52.3,1
 Fiesta,2014,9400,Semi-Auto,11817,Petrol,145,47.9,1.6
 EcoSport,2018,12999,Manual,34664,Petrol,145,54.3,1
 Fiesta,2015,6950,Manual,25559,Petrol,125,54.3,1.2
 Kuga,2016,11450,Manual,51538,Diesel,150,54.3,2
 Focus,2019,24250,Manual,5060,Petrol,145,34.5,2.3
 Fiesta,2018,10150,Manual,20591,Petrol,145,65.7,1
 Galaxy,2017,16950,Manual,39616,Diesel,145,56.5,2
 EcoSport,2017,9991,Manual,5925,Petrol,145,44.8,1.5
 C-MAX,2016,9837,Automatic,23242,Diesel,20,64.2,1.5
 Fiesta,2017,7460,Manual,12506,Petrol,125,54.3,1.2
 Grand C-MAX,2016,10490,Manual,16271,Diesel,30,64.2,1.5
 Fiesta,2018,9990,Manual,42910,Petrol,145,56.5,1
 Focus,2014,11607,Manual,23000,Petrol,235,39.2,2
 Focus,2016,10080,Manual,12376,Petrol,20,60.1,1
 Fiesta,2017,9630,Manual,10877,Petrol,0,65.7,1
 Fiesta,2016,7300,Manual,33972,Petrol,0,65.7,1
 Fiesta,2015,7630,Manual,18608,Petrol,0,65.7,1
 Fiesta,2018,9900,Manual,31016,Petrol,145,56.5,1
 Fiesta,2014,6700,Manual,24240,Petrol,30,54.3,1.2
 Fiesta,2013,5750,Manual,33172,Petrol,30,54.3,1.2
 Fiesta,2016,9557,Manual,22109,Petrol,20,62.8,1
 Fiesta,2018,11600,Manual,9021,Petrol,145,56.5,1
 Fiesta,2018,9890,Manual,44190,Petrol,145,56.5,1
 Fiesta,2018,10500,Manual,38590,Petrol,145,56.5,1
 Fiesta,2018,10600,Manual,26950,Petrol,145,56.5,1
 Fiesta,2018,11200,Manual,19550,Petrol,145,56.5,1
 Fiesta,2018,10600,Manual,22023,Petrol,145,56.5,1
 Fiesta,2018,9700,Manual,22160,Petrol,145,58.9,1
 Fiesta,2017,10190,Manual,23410,Petrol,20,62.8,1
 Fiesta,2017,9590,Manual,15540,Petrol,0,65.7,1
 Focus,2015,9300,Manual,20770,Diesel,0,74.3,1.5
 Fiesta,2015,9098,Manual,20430,Petrol,20,62.8,1
 C-MAX,2014,5890,Manual,71300,Petrol,30,55.4,1
 Focus,2016,7582,Manual,66477,Diesel,0,74.3,1.5
 Fiesta,2015,7739,Manual,31000,Petrol,0,65.7,1
 Focus,2018,11982,Manual,15417,Petrol,145,57.7,1
 Focus,2018,11982,Manual,6633,Petrol,145,57.7,1
 Focus,2016,8882,Manual,39753,Diesel,0,74.3,1.5
 Fiesta,2013,6982,Manual,21706,Petrol,30,54.3,1.2
 Fiesta,2019,13982,Automatic,15616,Petrol,145,48.7,1
 Focus,2016,10482,Manual,10500,Petrol,20,60.1,1
 Fiesta,2017,9699,Manual,13016,Petrol,0,65.7,1
 Fiesta,2017,11299,Manual,8519,Petrol,20,62.8,1
 Ka+,2017,7899,Manual,14488,Petrol,30,57.7,1.2
 Fiesta,2018,9499,Manual,8371,Petrol,145,64.2,1.1
 Fiesta,2018,10390,Manual,8899,Petrol,145,64.2,1.1
 Kuga,2019,18999,Manual,7663,Diesel,145,54.3,1.5
 Focus,2019,16499,Manual,7642,Diesel,145,74.3,1.5
 Edge,2019,29999,Semi-Auto,16192,Diesel,145,37.2,2
 Focus,2016,9499,Manual,32113,Diesel,0,74.3,1.5
 C-MAX,2017,12499,Manual,10323,Petrol,145,55.4,1
 Fiesta,2013,6450,Manual,39920,Petrol,0,65.7,1
 Focus,2016,9380,Manual,26550,Petrol,20,60.1,1
 Focus,2018,13990,Manual,9470,Petrol,145,58.9,1
 Focus,2018,13990,Manual,8980,Petrol,145,58.9,1
 Fiesta,2014,6580,Manual,23520,Petrol,0,65.7,1
 Fiesta,2016,8000,Manual,13440,Petrol,125,54.3,1.2
 Fiesta,2015,7380,Manual,26360,Petrol,0,65.7,1
 Fiesta,2017,8350,Manual,40170,Petrol,20,62.8,1
 Focus,2016,9000,Manual,30170,Diesel,0,74.3,1.5
 Fiesta,2018,10600,Manual,20100,Petrol,145,56.5,1
 Fiesta,2018,10895,Manual,8565,Petrol,145,55.4,1.1
 Fiesta,2018,10995,Manual,4657,Petrol,145,55.4,1.1
 Fiesta,2018,10890,Manual,10230,Petrol,145,55.4,1.1
 Fiesta,2018,12100,Manual,7338,Petrol,145,65.7,1
 Kuga,2016,15600,Manual,21515,Diesel,125,60.1,2
 Focus,2019,15700,Manual,5387,Petrol,145,60.1,1
 Fiesta,2019,13000,Manual,2790,Petrol,145,58.9,1
 Fiesta,2019,14100,Manual,5892,Petrol,145,58.9,1
 Fiesta,2019,18100,Manual,3050,Petrol,145,55.4,1
 Fiesta,2019,13600,Manual,12767,Petrol,145,58.9,1
 Kuga,2017,13800,Manual,11161,Petrol,160,45.6,1.5
 Kuga,2018,16900,Manual,3736,Diesel,145,64.2,1.5
 Focus,2017,11600,Semi-Auto,15716,Petrol,145,51.4,1
 Fiesta,2018,10995,Manual,7152,Petrol,145,55.4,1.1
 Fiesta,2018,9999,Manual,17818,Petrol,145,55.4,1.1
 Fiesta,2018,12995,Manual,15074,Petrol,145,55.4,1
 Focus,2018,16299,Manual,16628,Petrol,145,60.1,1
 Kuga,2017,15999,Manual,25119,Diesel,125,60.1,2
 Fiesta,2017,8150,Manual,27006,Petrol,125,54.3,1.2
 Focus,2017,10999,Manual,17039,Petrol,145,60.1,1
 Kuga,2018,14491,Manual,31569,Diesel,145,54.3,1.5
 Puma,2020,20991,Manual,1381,Petrol,145,50.4,1
 Fiesta,2018,13181,Semi-Auto,10414,Petrol,145,48.7,1
 Focus,2019,15590,Manual,3412,Petrol,145,60.1,1
 Focus,2019,15340,Manual,6175,Petrol,145,60.1,1
 Fiesta,2018,10000,Manual,38664,Petrol,145,65.7,1
 Fiesta,2017,9537,Manual,16626,Petrol,145,65.7,1
 Fiesta,2018,11791,Manual,9358,Petrol,145,65.7,1
 Focus,2017,9780,Manual,33432,Diesel,0,74.3,1.5
 Fiesta,2019,17991,Manual,18248,Petrol,145,40.3,1.5
 Fiesta,2014,6800,Manual,26745,Diesel,0,76.4,1.5
 Kuga,2017,15900,Manual,25276,Diesel,145,54.3,2
 Focus,2017,12200,Manual,24450,Diesel,145,74.3,1.5
 Kuga,2017,14900,Manual,18743,Diesel,125,60.1,2
 Focus,2018,12500,Manual,5014,Petrol,145,61.4,1
 Fiesta,2017,10600,Manual,22676,Petrol,0,65.7,1
 Fiesta,2017,9800,Manual,23509,Petrol,145,65.7,1
 Fiesta,2019,13500,Manual,6,Petrol,145,48.7,1.1
 Fiesta,2019,12600,Manual,16879,Petrol,145,56.5,1
 Focus,2019,16900,Manual,1187,Petrol,145,58.9,1
 Fiesta,2017,9300,Manual,15724,Petrol,0,65.7,1
 Edge,2017,16250,Manual,48867,Diesel,160,48.7,2
 Kuga,2019,19400,Manual,9154,Petrol,145,39.2,1.5
 Fiesta,2017,10100,Manual,19393,Petrol,0,65.7,1
 Kuga,2017,12800,Manual,22865,Diesel,30,64.2,1.5
 Focus,2019,15500,Manual,7932,Petrol,145,58.9,1
 EcoSport,2018,12900,Manual,6007,Petrol,145,54.3,1
 Focus,2017,10900,Manual,35261,Diesel,145,74.3,1.5
 Focus,2019,17500,Manual,2112,Petrol,145,60.1,1
 EcoSport,2019,15750,Manual,5,Petrol,145,53.3,1
 Focus,2017,13900,Manual,8120,Petrol,145,51.4,1.5
 EcoSport,2018,12900,Manual,26567,Petrol,145,54.3,1
 Fiesta,2016,9494,Manual,6428,Petrol,125,54.3,1.2
 C-MAX,2015,6191,Manual,61312,Diesel,30,61.4,1.6
 EcoSport,2016,9400,Manual,32105,Petrol,125,53.3,1
 Fiesta,2018,12200,Manual,19526,Petrol,145,62.8,1
 Focus,2017,11300,Manual,10304,Petrol,20,60.1,1
 Focus,2018,17900,Manual,5218,Petrol,145,58.9,1
 EcoSport,2017,9400,Manual,29474,Petrol,145,52.3,1
 Fiesta,2019,13300,Manual,12452,Petrol,145,58.9,1
 Kuga,2017,13600,Manual,11744,Diesel,30,64.2,1.5
 Fiesta,2014,6191,Manual,51977,Diesel,0,76.4,1.5
 Fiesta,2016,7441,Manual,31363,Petrol,0,65.7,1
 Fiesta,2014,6220,Manual,30713,Petrol,30,54.3,1.2
 Fiesta,2016,9210,Manual,19703,Petrol,0,65.7,1
 Fiesta,2013,6970,Manual,42067,Petrol,0,65.7,1
 Focus,2019,17370,Manual,1038,Petrol,145,50.4,1.5
 EcoSport,2018,14721,Manual,8003,Petrol,145,51.4,1
 Ka+,2018,8511,Manual,3197,Petrol,145,48.7,1.2
 Focus,2016,9298,Manual,14736,Petrol,20,61.4,1
 Fiesta,2017,8498,Manual,28637,Diesel,0,78.5,1.5
 EcoSport,2017,10298,Manual,21833,Petrol,150,53.3,1
 Focus,2014,8498,Semi-Auto,29014,Petrol,165,44.8,1.6
 Kuga,2014,9998,Semi-Auto,43061,Diesel,205,45.6,2
 EcoSport,2017,10498,Semi-Auto,29452,Petrol,160,44.8,1.5
 Focus,2017,10298,Manual,23562,Petrol,145,61.4,1
 Tourneo Connect,2016,12298,Automatic,43812,Diesel,125,56.6,1.5
 Focus,2018,13298,Manual,11132,Petrol,145,57.7,1
 Fiesta,2017,8498,Manual,18904,Petrol,145,54.3,1.2
 Focus,2016,10498,Manual,26076,Diesel,0,74.3,1.5
 Fiesta,2016,8498,Manual,18245,Petrol,125,54.3,1.2
 Fiesta,2016,8498,Manual,20900,Petrol,125,54.3,1.2
 Fiesta,2016,8498,Manual,18090,Petrol,125,54.3,1.2
 Fiesta,2017,10298,Manual,26234,Petrol,0,65.7,1
 Focus,2017,12498,Manual,25941,Diesel,145,74.3,1.5
 Fiesta,2013,6298,Manual,55185,Petrol,0,65.7,1
 Fiesta,2013,6298,Semi-Auto,59634,Petrol,150,47.9,1.6
 Focus,2017,10998,Manual,21378,Petrol,20,60.1,1
 Ka+,2018,8998,Manual,1615,Petrol,145,57.7,1.2
 Fiesta,2014,9995,Manual,37484,Petrol,145,47.9,1.6
 Focus,2017,16995,Manual,27000,Petrol,145,41.5,2
 KA,2015,4995,Manual,41800,Petrol,30,57.7,1.2
 Kuga,2017,14495,Manual,18990,Diesel,145,64.2,1.5
 Fiesta,2014,7995,Manual,18391,Petrol,0,65.7,1
 Focus,2017,11395,Manual,25887,Diesel,150,74.3,1.5
 Focus,2017,9995,Manual,30387,Petrol,150,60.1,1
 Fiesta,2018,12495,Manual,16504,Petrol,145,62.8,1
